year,country,industry,action,asset,data_type,data_stolen
2019,CL,000,['error'],S - Database,['Personal'],Yes
2012,US,518,['hacking'],S - Database,['Credentials'],Potentially
2013,US,444220,['unknown'],U - POS terminal,['Payment'],Yes
2013,IE,522110,['error'],M - Documents,['Personal'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2013,US,334511,['physical'],U - Laptop,['Secrets'],Yes
2016,US,922130,['misuse'],M - Documents,['Personal'],Yes
2013,US,923140,['error'],M - Documents,['Unknown'],Unknown
2019,IN,325412,['misuse'],S - Database,['Internal'],Yes
2023,US,524,"['hacking', 'malware']",S - File,['Personal'],Yes
2014,Unknown,000,['physical'],T - ATM,['Payment'],Potentially
2014,US,923140,['error'],M - Documents,['Personal'],Potentially
2017,US,62,['physical'],M - Documents,['Medical'],Yes
2023,US,923120,"['hacking', 'malware']",S - File,['Personal'],Yes
2020,US,622110,['error'],M - Documents,['Medical'],Yes
2012,US,541840,['misuse'],M - Documents,['Payment'],Yes
2017,US,611310,['hacking'],S - Mail,['Internal'],Yes
2011,US,621910,"['error', 'physical']",U - Laptop,['Medical'],Potentially
2012,US,624120,['physical'],U - Desktop,['Medical'],Potentially
2014,US,523120,['hacking'],S - Web application,[],
2011,US,92314,['error'],S - File,['Personal'],Yes
2013,US,621111,['physical'],U - Laptop,['Personal'],Potentially
2010,US,923140,['error'],M - Documents,['Unknown'],Yes
2013,US,622110,['misuse'],S - Database,['Medical'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2013,US,517110,['hacking'],S - Web application,"['Payment', 'Personal']",Yes
2010,US,923140,['error'],M - Documents,['Unknown'],Unknown
2018,US,622110,"['hacking', 'social']",S - Mail,['Medical'],Yes
2010,US,923140,['error'],M - Documents,['Unknown'],Unknown
2013,US,623990,['misuse'],M - Documents,['Personal'],Yes
2013,IL,000,['hacking'],S - Web application,['Unknown'],No
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
